sender	message
Hadi	‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
Hadi	Assalam o alikum
Hadi	Bhai kesy hen ap....
Hadi	Kasim bhai ny number dia apka wo Pakistan ma hen abi
Shami	W. Salam
Shami	G Alhamdulilah
Shami	Ap sunaye
Shami	Me abi Dort hun
Shami	Ap kis department se hen
Hadi	Engineering
Shami	Kab aye hen ap Germany?
Hadi	Ici week
Shami	Accomodation mili?
Hadi	Ni bhai
Hadi	Ap k pas hy koi option with city registration?
Shami	Unfortunately, no
Hadi	🥲
Hadi	Bhai ap ki wapsi kab tak?
Shami	2 years
Hadi	Masha Allah
Hadi	Kal ap ny university jana?
Hadi	Ap sy mulakaat ho jati...
Shami	Yes. We can meet around 2 pm
Hadi	Insha Allah
Hadi	Jazakallah Bhai
Shami	No problem
Hadi	Apka department b chemistry he hy na?
Shami	Yes
Shami	Are you coming to university
Hadi	Yes
Hadi	Insha Allah milty hen ap sy
Hadi	Ma takreeban 30.min tak aa jaonga
Shami	Alright
Shami	I'll be in library
Hadi	Ok jazakallah Bhai
Shami	😊
Hadi	Bhai ma aa gya hon stop sy utr gya ab aa raha
Hadi	SSC tk a gya
Hadi	Library? Ki smjh ni aa rahi
Hadi	?
Hadi	Bhai ma yaha khara wait ker raha hon apka
Hadi	Library k he bhr khara hon
Shami	Okay
Shami	I'm coming
Hadi	Assalam o alikum Bhai
Hadi	Bhai kesy hen ap...?
Shami	W. Salam
Shami	G Alhamdulilah
Shami	Ap sunaye
Hadi	Alhamdullilah
Hadi	G bhai Allah pak ka shuker
Hadi	Shami Bhai call ho skti?
Shami	Sure
Hadi	Hmm
Hadi	Yeh 10 bjy open honi hh
Shami	Alright
Shami	Idr hen ap abi?
Hadi	Hmm
Hadi	Assalam o alikum 
Shami	Email?
Hadi	Ok
Shami	What's your email address?
Hadi	Wait
Shami	sent
Hadi	Extract kerna
Shami	G
Hadi	AoA Shami bhai juma kitny bjy hota yaha?
Shami	2:30
Hadi	Kidr hota
Shami	Wasserstr. mosque he
Hadi	Ok Bhai
Shami	University me Uni center me 2 bje hota
Hadi	Acha Shami bhai ap ny grocery k lia jana bhala aj?
Shami	Kuch khas to nai lena
Hadi	Acha chalen theek hy mjy yeh tha agr ap ny jana to ma b ap k sath kuch cheezen la lon
Hadi	Bas yehi hy k zara ap k sath mazeed pta chal jaye halal haram ka
Hadi	Kiu k wo allo wagera ap ny b dekhy k kharab ho gay wy hen to mjy new he leny pary gy
Shami	Kaha se krna chahte hen ap shopping?
Hadi	Bhai aldi sy he ker lety wohi pas paryga apko b
Shami	Hmm... Chale a jaye
Hadi	Ya jha sy ap kerty no problem
Shami	Me to mostly Aldi aur Shaheen se hi krta hun
Hadi	Ma aldi a jaon ya apki building waly stop py?
Hadi	Bas theek hy
Hadi	Wohi sy ker lety
Shami	Jaha easy lge apko
Hadi	Bhai filhal to ap bta den mjy easy kia rahy ga
Hadi	Because mjy to phr yehi smjh aata k yaha sy university waly stop py jaon or phr waha sy markstr. Aon
Hadi	Ok
Shami	A rhy ap?
Hadi	G bhai
Hadi	A gya hon
Hadi	Stop py ap k
Shami	Ok.. coming
Hadi	AOA
Hadi	Shami bhai ap masjid ma perty juma ya uni center ma
Shami	Uni center me
Hadi	Ok
Hadi	2 bjy jamat hoti ?
Shami	G
Shami	UFO me
Hadi	Wazo krny ka intazam hy? By chance waha?
Hadi	Ya ghr sy he
Shami	He udr bhi
Shami	But ghr se hi kr lijiye ga
Shami	1:45 tk pohnch jaiye ga
Hadi	Bhai yaha hota juma?
Shami	G
Hadi	Ok
Hadi	Shami bhai kia jaye-namaz ghr sy lana tha?
Shami	It's okay. Not necessary
Hadi	Ok
Hadi	Bhai ap ny kab tak ana bhala?
Shami	5 minutes tak
Shami	Aur bhi log aye hen?
Hadi	G
Hadi	AoA
Hadi	Bhai kesy hen?
Hadi	Bhai university hen ya ghr..?
Hadi	Mulakaat ho skti
Shami	Ghr
Hadi	Chalen theek ho gya tab ma university tha mjy yeh tha ap waha hon shyed
Hadi	My caah ra tha k mulakaat ho jati mjy TK ki trf sy 3 letter aye thy or 1 kisi or trf sy aya
Hadi	To my wo apko dikha deta agr ap k pas time ho too otherwise no problem
Shami	Chale me shaam ko a skta hun
Hadi	G koi msla ni jb easy ap no problem 
Shami	Chale around 9 pm mulakat kr skte hen
Hadi	Ok
Shami	Ap aye gen k me ao
Hadi	Bhai jesy ap ko easy lagy
Hadi	Mjy khty to ma aa jata
Hadi	No problem mjy max 10 min lgny any ma
Shami	A jayen phir
Hadi	Ok Bhai
Hadi	Bhai 7 min ma bus hy ma wo la k aa jata ap k pas
Shami	Ok
Hadi	‎Voice call, ‎Answered on other device
Hadi	G bhai
Hadi	Door k bhr
Hadi	A
Shami	Liebes Team,
Shami	Surname hi he ... Given name khali he
Hadi	“ FNU “is to be used all over the world for this case yehi follow hota ha generally. 
Hadi	Bhai yehi answer aya phr mjy
Hadi	Unho ny b yehi kha k sure name he likhna hy given name my phr FNU likhna
Shami	Very helpful info. Thank you 😊
Hadi	No problem Bhai
Hadi	University ma hen?
Shami	No
Hadi	Acha ap prepared Sim use ker rahy ya post paid? Or konsi use ker rahy...?
Hadi	Ok
Shami	Prepade Aldi
Hadi	Ok
Shami	G wohi behtr bta skty...
